year,region_id,voltage_kv,evidence_grade,quality_notes,quality_flag,source_ref,source_sha256
2023,QX-00001,35,EVIDENCE_C,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",historical_diagnostic_replay,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,0ecaa8782ea8b23f77462cdf1f169fa945aa654860091d4f961cf8692eb93485
2023,QX-00003,35,EVIDENCE_C,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",historical_diagnostic_replay,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,0ecaa8782ea8b23f77462cdf1f169fa945aa654860091d4f961cf8692eb93485
2023,QX-00004,35,EVIDENCE_C,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",historical_diagnostic_replay,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,0ecaa8782ea8b23f77462cdf1f169fa945aa654860091d4f961cf8692eb93485
2023,QX-00005,35,EVIDENCE_C,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",historical_diagnostic_replay,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,0ecaa8782ea8b23f77462cdf1f169fa945aa654860091d4f961cf8692eb93485
2023,QX-00007,35,EVIDENCE_C,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",historical_diagnostic_replay,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,0ecaa8782ea8b23f77462cdf1f169fa945aa654860091d4f961cf8692eb93485
2023,QX-00008,35,EVIDENCE_C,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",historical_diagnostic_replay,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,0ecaa8782ea8b23f77462cdf1f169fa945aa654860091d4f961cf8692eb93485
2023,QX-00009,35,EVIDENCE_C,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",historical_diagnostic_replay,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,0ecaa8782ea8b23f77462cdf1f169fa945aa654860091d4f961cf8692eb93485
2023,QX-00010,35,EVIDENCE_C,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",historical_diagnostic_replay,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,0ecaa8782ea8b23f77462cdf1f169fa945aa654860091d4f961cf8692eb93485
2023,QX-00001,110,EVIDENCE_C,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",historical_diagnostic_replay,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,0ecaa8782ea8b23f77462cdf1f169fa945aa654860091d4f961cf8692eb93485
2023,QX-00003,110,EVIDENCE_C,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",historical_diagnostic_replay,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,0ecaa8782ea8b23f77462cdf1f169fa945aa654860091d4f961cf8692eb93485
